aqm,cca1,cca2,RR,J_Index,phi
fifo,bbr,bbr,23.164,0.998,7.884
fifo,bbr,cubic,14.916,0.806,7.98
fifo,bbr2,bbr2,1.141,0.983,7.96
fifo,bbr2,cubic,1.823,0.937,7.987
fifo,cubic,cubic,1.0,1.0,7.964
fifo,htcp,cubic,1.624,0.974,7.976
fifo,htcp,htcp,2.493,1.003,7.994
fifo,reno,cubic,1.01,0.849,7.986
fifo,reno,reno,1.235,0.998,7.976
fq_codel,bbr,bbr,24.468,1.0,7.771
fq_codel,bbr,cubic,13.986,0.994,7.762
fq_codel,bbr2,bbr2,4.386,1.0,7.818
fq_codel,bbr2,cubic,2.312,0.998,7.801
fq_codel,cubic,cubic,1.0,1.0,7.79
fq_codel,htcp,cubic,1.057,1.0,7.773
fq_codel,htcp,htcp,1.135,1.0,7.751
fq_codel,reno,cubic,0.891,0.998,7.684
fq_codel,reno,reno,0.852,1.0,7.52
red,bbr,bbr,38.797,0.955,7.632
red,bbr,cubic,35.24,0.524,7.624
red,bbr2,bbr2,3.943,0.999,7.267
red,bbr2,cubic,3.062,0.715,7.244
red,cubic,cubic,1.0,1.0,6.507
red,htcp,cubic,1.368,0.969,6.526
red,htcp,htcp,1.614,1.0,6.558
red,reno,cubic,1.102,1.0,6.452
red,reno,reno,1.212,1.0,6.329
red_noecn,bbr,bbr,47.687,0.938,7.503
red_noecn,bbr,cubic,41.056,0.522,7.522
red_noecn,bbr2,bbr2,4.872,1.0,7.227
red_noecn,bbr2,cubic,3.675,0.722,7.211
red_noecn,cubic,cubic,1.0,1.0,6.304
red_noecn,htcp,cubic,1.272,0.98,6.37
red_noecn,htcp,htcp,1.497,0.999,6.354
red_noecn,reno,cubic,1.136,1.0,6.129
red_noecn,reno,reno,1.281,1.0,5.906
